YEAR,LocationAbbr,LocationDesc,TopicDesc,MeasureDesc,DataSource,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Gender,Education,TopicId,MeasureId,StratificationID1,StratificationID4,SubMeasureID,DisplayOrder
2004,OH,Ohio,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,32.2,3.2,25.8,38.5,1377,Overall,Middle School,106BEH,166SSA,1GEN,1EDU,YTS08,8
2008,AL,Alabama,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,47.8,2.9,42.1,53.5,654,Female,High School,106BEH,166SSA,3GEN,2EDU,YTS08,8
2015,WV,West Virginia,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,12.7,1.9,9,16.4,781,Male,High School,151BEH,169USS,2GEN,2EDU,YTS12,12
2005,IL,Illinois,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,28.5,2.2,24.2,32.8,1323,Overall,Middle School,106BEH,166SSA,1GEN,1EDU,YTS08,8
2005,CT,Connecticut,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,20.5,2.3,16,25.1,973,Male,High School,151BEH,169USS,2GEN,2EDU,YTS11,11
2009,CT,Connecticut,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,1.2,0.3,0.6,1.8,2214,Overall,High School,151BEH,169USS,1GEN,2EDU,YTS12,12
2001,ID,Idaho,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,15.1,1.2,12.7,17.6,926,Male,Middle School,151BEH,169USS,2GEN,1EDU,YTS11,11
2004,VT,Vermont,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,2.5,0.7,1.3,3.8,847,Male,Middle School,106BEH,166SSA,2GEN,1EDU,YTS09,9
2007,CT,Connecticut,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,13,1.7,9.6,16.4,2184,Overall,Middle School,106BEH,166SSA,1GEN,1EDU,YTS08,8
2006,PA,Pennsylvania,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,42.4,2.6,37.3,47.5,826,Female,High School,106BEH,166SSA,3GEN,2EDU,YTS08,8
2015,LA,Louisiana,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,75.3,9.8,56,94.6,55,Overall,Middle School,105BEH,169QUA,1GEN,1EDU,YTS04,4
2008,PA,Pennsylvania,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,1,0.3,0.5,1.5,1184,Male,Middle School,106BEH,166SSA,2GEN,1EDU,YTS09,9
2002,KY,Kentucky,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,44.4,2.2,40,48.7,723,Male,Middle School,106BEH,166SSA,2GEN,1EDU,YTS08,8
2006,PA,Pennsylvania,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,6.2,0.8,4.6,7.8,716,Female,Middle School,151BEH,169USS,3GEN,1EDU,YTS11,11
2003,UT,Utah,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.6,0.4,0,1.3,1222,Female,High School,151BEH,169USS,3GEN,2EDU,YTS12,12
2008,MN,Minnesota,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,,,,,,Female,Middle School,105BEH,170CES,3GEN,1EDU,YTS03,3
2009,LA,Louisiana,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,26.6,3.2,20.4,32.8,484,Male,High School,151BEH,169USS,2GEN,2EDU,YTS11,11
2004,DE,Delaware,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,9.4,0.7,7.9,10.8,2226,Overall,High School,151BEH,169USS,1GEN,2EDU,YTS11,11
2011,CT,Connecticut,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,5,0.9,3.3,6.7,2084,Overall,High School,151BEH,169USS,1GEN,2EDU,YTS10,10
2011,NH,New Hampshire,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,41.2,4,33.4,49,185,Overall,High School,105BEH,170CES,1GEN,2EDU,YTS01,1
2002,MA,Massachusetts,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,9.8,1.4,7.2,12.5,813,Male,High School,106BEH,166SSA,2GEN,2EDU,YTS09,9
2005,IL,Illinois,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,45.5,2.7,40.3,50.7,144,Male,High School,105BEH,169QUA,2GEN,2EDU,YTS05,5
2010,AL,Alabama,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,5.6,1,3.6,7.6,678,Female,High School,106BEH,166SSA,3GEN,2EDU,YTS09,9
2010,AR,Arkansas,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,6.9,0.7,5.5,8.3,2387,Overall,Middle School,106BEH,166SSA,1GEN,1EDU,YTS07,7
2007,CT,Connecticut,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,7.2,0.8,5.6,8.8,1959,Overall,High School,106BEH,166SSA,1GEN,2EDU,YTS09,9
2001,GA,Georgia,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,52.7,5.8,41.3,64.1,100,Female,Middle School,105BEH,169QUA,3GEN,1EDU,YTS06,6
2008,MN,Minnesota,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,14.8,1.5,11.8,17.8,2220,Overall,Middle School,106BEH,166SSA,1GEN,1EDU,YTS08,8
2004,IA,Iowa,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,42.9,4.6,34,51.9,85,Overall,Middle School,105BEH,170CES,1GEN,1EDU,YTS01,1
2009,NC,North Carolina,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,41.3,2.6,36.2,46.4,444,Overall,High School,105BEH,170CES,1GEN,2EDU,YTS01,1
2002,CT,Connecticut,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,6,0.6,4.8,7.1,2619,Overall,Middle School,151BEH,169USS,1GEN,1EDU,YTS11,11
2002,WI,Wisconsin,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,8.7,1.9,5,12.4,611,Female,Middle School,106BEH,166SSA,3GEN,1EDU,YTS07,7
2007,NH,New Hampshire,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,12.4,1.5,9.4,15.4,757,Male,High School,151BEH,169USS,2GEN,2EDU,YTS10,10
